,닉네임,댓글,날짜
146,봉다리 ,내가끝 ㅠㅠ,2009.05.13 17:54:36
147,thecold ,내가 끝 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2009.05.22 15:15:50
148,준치◕‿◕ ,준치는 생선입니다.,2009.05.23 14:37:44
149,thecold ,업데이트 하러 왔음. 내가 끝,2009.06.01 14:12:16
150,이제그만(124.61),진정한 끝 여기 왔다,2009.06.02 03:46:53
151,정치인죽어(211.114),내가끝이구나 ㅋㅋ 내밑에달지말어 ㅜㅜ,2009.06.03 15:57:52
152,thecold ,업데이트 하러 왔음2 내가 끝,2009.06.05 17:02:30
153,냉국 ,닥쳐 내가끝,2009.06.09 17:26:33
154,thecold ,업데이트 하러 왔음3 내가 끝,2009.06.10 11:44:57
155,- -;(121.146),계속 싸우고있을줄 알앗는데 이제그냥 성지순례만 잇네,2009.06.15 22:27:52
156,Fe ,내가 -끄읏-,2009.06.29 20:57:17
157,애엉(121.125),꺼져 이제 끗,2009.07.01 02:23:18
158,즐(121.162),내가 끗,2009.07.01 14:33:46
159,BRAIN CRY ,멍미.,2009.07.09 15:44:49
160,이상기체 ,+1,2009.07.13 19:49:58
161,이상기체 ,+1,2009.07.13 19:50:09
162,dd(112.146),깝 ㄴ,2009.07.28 15:52:17
163,봉다리 ,내가 끗,2009.08.03 13:27:12
164,분노의(121.173),내가 끗 캬캬캬,2009.08.08 01:51:52
165,김건킹 ,내가끝,2009.08.08 15:43:45
166,제시카~ ,내가 끄읕 ㅋㅋㅋㅋ,2009.08.24 00:49:14
167,`(118.129),차가 불에 타는거 실제로 내가 봤는데 이거랑 비슷함... 검은색 연기는 차보다 좀 위에서 하늘 덮던데,2009.08.28 11:10:31
168,ㄱㄹ(121.135),ㅎ,2009.08.29 19:57:32
169,릴리. ,미래에서 왔스빈다^^,2009.09.22 16:09:28
170,니토리 ,WWWWWWWW,2009.10.02 11:56:08
171,ㅁㄴ(119.193),내위로 다병신,2009.11.11 20:49:46
172,8668(116.120),병신들,2009.11.13 16:28:05
173,인검(118.221),고대인새끼들 아는척 쩌네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2009.11.15 20:30:56
174,개념 ,헐ㄷㄷ;,2009.11.17 14:04:41
175,내가끗(58.227),내가끗 ㅎㅎ,2009.12.09 15:32:29
176,공일오비 ,합성이네가 여기서 탄생한 건가?,2009.12.22 16:55:48
177,정다영 ,^ㅡ^,2010.01.19 15:43:15
178,개그치지마 ,쌀국수?뚝배기,2010.01.19 17:38:16
179, 지영 ,성지순례,2010.01.22 19:46:48
180,ring ding do.. ,Rz 님 행복하세여,2010.01.22 20:15:08
